year,block,main_plot,fym_factor_level,rotation_type,rotation_factor_level,johnston_rotation_code,bulk_density,percent_soc,percent_n,note_id
1959,1,13,FYM,ley_arable,L,LN3,1.388,0.980,*,*
1959,1,14,none,ley_arable,L,LN3,1.388,0.900,*,*
1959,1,15,none,alternating,Ah/L,LC8,1.508,0.950,*,*
1959,1,16,FYM,alternating,Ah/L,LC8,1.508,1.290,*,*
1960,3,33,FYM,ley_arable,Lu,LC3,1.388,0.970,*,*
1960,3,34,none,ley_arable,Lu,LC3,1.388,0.900,*,*
1960,3,35,FYM,alternating,Ar/Lu,LN8,1.508,1.100,*,*
1960,3,36,none,alternating,Ar/Lu,LN8,1.508,1.040,*,*
1960,3,37,none,alternating,Lu/Ar,LN8,1.508,0.890,*,*
1960,3,38,FYM,alternating,Lu/Ar,LN8,1.508,0.920,*,*
1960,3,39,FYM,arable,Ar,AF,1.508,0.980,*,*
1960,3,40,none,arable,Ar,AF,1.508,0.900,*,*
1960,3,41,none,alternating,L/Ah,LC8,1.508,0.900,*,*
1960,3,42,FYM,alternating,L/Ah,LC8,1.508,1.040,*,*
1960,3,43,none,ley_arable,L,LN3,1.388,1.010,*,*
1960,3,44,FYM,ley_arable,L,LN3,1.388,1.370,*,*
1960,3,45,none,arable,Ah,AB,1.508,0.930,*,*
1960,3,46,FYM,arable,Ah,AB,1.508,1.140,*,*
1960,3,47,none,alternating,Ah/L,LC8,1.508,0.950,*,*
1960,3,48,FYM,alternating,Ah/L,LC8,1.508,1.160,*,*
1961,5,65,none,ley_arable,L,LN3,1.388,1.115,*,3.000
1961,5,66,FYM,ley_arable,L,LN3,1.388,1.313,*,3.000
1961,5,67,FYM,arable,Ah,AB,1.508,1.250,*,3.000
1961,5,68,none,arable,Ah,AB,1.508,1.137,*,3.000
1961,5,69,none,alternating,Lu/Ar,LN8,1.508,0.950,*,3.000
1961,5,70,FYM,alternating,Lu/Ar,LN8,1.508,1.141,*,3.000
1961,5,71,none,alternating,Ar/Lu,LN8,1.508,1.130,*,3.000
1961,5,72,FYM,alternating,Ar/Lu,LN8,1.508,1.289,*,3.000
1961,5,73,FYM,arable,Ar,AF,1.508,0.986,*,3.000
1961,5,74,none,arable,Ar,AF,1.508,0.920,*,3.000
1961,5,75,FYM,alternating,Ah/L,LC8,1.508,1.175,*,3.000
