year,block,main_plot,split_plot,plot_code,previous_FYM_factor_level,N_factor_level,N_factor_code,N_fertilizer_amount,number_of_N_applications,rotation_factor_level,basal_P_kg,date_P,basal_K_kg,date_K,basal_S_kg,date_S,cultivar,sow_date,harvest_date,grain_yield,note_id
1977,5,69,3,69.300,none,FA:N3,N189,189,1,Ar_alt,60.000,1976-11-24,60.000,1976-11-24,0.000,*,Cappelle,1976-11-24,1977-09-07,4.010,*
1977,5,69,4,69.400,none,FA:N1,N63,63,1,Ar_alt,60.000,1976-11-24,60.000,1976-11-24,0.000,*,Cappelle,1976-11-24,1977-09-07,4.736,*
1977,5,70,1,70.100,FYM,FA:N3,N189,189,1,Ar_alt,60.000,1976-11-24,60.000,1976-11-24,0.000,*,Cappelle,1976-11-24,1977-09-07,4.754,*
1977,5,70,2,70.200,FYM,FA:N1,N63,63,1,Ar_alt,60.000,1976-11-24,60.000,1976-11-24,0.000,*,Cappelle,1976-11-24,1977-09-07,4.248,*
1977,5,70,3,70.300,FYM,FA:N2,N126,126,1,Ar_alt,60.000,1976-11-24,60.000,1976-11-24,0.000,*,Cappelle,1976-11-24,1977-09-07,5.110,*
1977,5,70,4,70.400,FYM,FA:N0,N0,0,0,Ar_alt,60.000,1976-11-24,60.000,1976-11-24,0.000,*,Cappelle,1976-11-24,1977-09-07,3.021,*
1977,5,73,1,73.100,FYM,FA:N3,N189,189,1,Ar_per,60.000,1976-11-24,60.000,1976-11-24,0.000,*,Cappelle,1976-11-24,1977-09-07,4.051,*
1977,5,73,2,73.200,FYM,FA:N0,N0,0,0,Ar_per,60.000,1976-11-24,60.000,1976-11-24,0.000,*,Cappelle,1976-11-24,1977-09-07,2.403,*
1977,5,73,3,73.300,FYM,FA:N1,N63,63,1,Ar_per,60.000,1976-11-24,60.000,1976-11-24,0.000,*,Cappelle,1976-11-24,1977-09-07,3.587,*
1977,5,73,4,73.400,FYM,FA:N2,N126,126,1,Ar_per,60.000,1976-11-24,60.000,1976-11-24,0.000,*,Cappelle,1976-11-24,1977-09-07,4.777,*
1977,5,74,1,74.100,none,FA:N2,N126,126,1,Ar_per,60.000,1976-11-24,60.000,1976-11-24,0.000,*,Cappelle,1976-11-24,1977-09-07,5.081,*
1977,5,74,2,74.200,none,FA:N3,N189,189,1,Ar_per,60.000,1976-11-24,60.000,1976-11-24,0.000,*,Cappelle,1976-11-24,1977-09-07,4.899,*
1977,5,74,3,74.300,none,FA:N1,N63,63,1,Ar_per,60.000,1976-11-24,60.000,1976-11-24,0.000,*,Cappelle,1976-11-24,1977-09-07,3.988,*
1977,5,74,4,74.400,none,FA:N0,N0,0,0,Ar_per,60.000,1976-11-24,60.000,1976-11-24,0.000,*,Cappelle,1976-11-24,1977-09-07,2.221,*
1977,5,77,1,77.100,FYM,FA:N0,N0,0,0,Ah_alt,60.000,1976-11-24,60.000,1976-11-24,0.000,*,Cappelle,1976-11-24,1977-09-07,2.578,*
1977,5,77,2,77.200,FYM,FA:N2,N126,126,1,Ah_alt,60.000,1976-11-24,60.000,1976-11-24,0.000,*,Cappelle,1976-11-24,1977-09-07,4.836,*
1977,5,77,3,77.300,FYM,FA:N1,N63,63,1,Ah_alt,60.000,1976-11-24,60.000,1976-11-24,0.000,*,Cappelle,1976-11-24,1977-09-07,3.752,*
1977,5,77,4,77.400,FYM,FA:N3,N189,189,1,Ah_alt,60.000,1976-11-24,60.000,1976-11-24,0.000,*,Cappelle,1976-11-24,1977-09-07,4.154,*
1977,5,78,1,78.100,FYM,FA:N3,N189,189,1,Ah_alt,60.000,1976-11-24,60.000,1976-11-24,0.000,*,Cappelle,1976-11-24,1977-09-07,4.807,*
1977,5,78,2,78.200,none,FA:N0,N0,0,0,Ah_alt,60.000,1976-11-24,60.000,1976-11-24,0.000,*,Cappelle,1976-11-24,1977-09-07,2.572,*
1977,5,78,3,78.300,none,FA:N2,N126,126,1,Ah_alt,60.000,1976-11-24,60.000,1976-11-24,0.000,*,Cappelle,1976-11-24,1977-09-07,4.360,*
1977,5,78,4,78.400,none,FA:N1,N63,63,1,Ah_alt,60.000,1976-11-24,60.000,1976-11-24,0.000,*,Cappelle,1976-11-24,1977-09-07,3.730,*
1977,5,79,1,79.100,none,FA:N0,N0,0,0,Lu,60.000,1976-11-24,60.000,1976-11-24,0.000,*,Cappelle,1976-11-24,1977-09-07,3.108,*
1977,5,79,2,79.200,none,FA:N3,N189,189,1,Lu,60.000,1976-11-24,60.000,1976-11-24,0.000,*,Cappelle,1976-11-24,1977-09-07,5.388,*
1977,5,79,3,79.300,none,FA:N1,N63,63,1,Lu,60.000,1976-11-24,60.000,1976-11-24,0.000,*,Cappelle,1976-11-24,1977-09-07,4.134,*
1977,5,79,4,79.400,none,FA:N2,N126,126,1,Lu,60.000,1976-11-24,60.000,1976-11-24,0.000,*,Cappelle,1976-11-24,1977-09-07,4.718,*
1977,5,80,1,80.100,FYM,FA:N2,N126,126,1,Lu,60.000,1976-11-24,60.000,1976-11-24,0.000,*,Cappelle,1976-11-24,1977-09-07,4.783,*
1977,5,80,2,80.200,FYM,FA:N3,N189,189,1,Lu,60.000,1976-11-24,60.000,1976-11-24,0.000,*,Cappelle,1976-11-24,1977-09-07,4.319,*
1977,5,80,3,80.300,FYM,FA:N0,N0,0,0,Lu,60.000,1976-11-24,60.000,1976-11-24,0.000,*,Cappelle,1976-11-24,1977-09-07,3.578,*
1977,5,80,4,80.400,FYM,FA:N1,N63,63,1,Lu,60.000,1976-11-24,60.000,1976-11-24,0.000,*,Cappelle,1976-11-24,1977-09-07,3.624,*
1978,4,53,1,53.100,none,FA:N1,N63,63,1,AB,62.000,1977-10-25,62.000,1977-10-25,0.000,*,Cappelle,1977-10-25,1978-08-25,4.730,*
1978,4,53,2,53.200,none,FA:N0,N0,0,0,AB,62.000,1977-10-25,62.000,1977-10-25,0.000,*,Cappelle,1977-10-25,1978-08-25,2.950,*
1978,4,53,3,53.300,none,FA:N2,N126,126,1,AB,62.000,1977-10-25,62.000,1977-10-25,0.000,*,Cappelle,1977-10-25,1978-08-25,5.221,*
1978,4,53,4,53.400,none,FA:N3,N189,189,1,AB,62.000,1977-10-25,62.000,1977-10-25,0.000,*,Cappelle,1977-10-25,1978-08-25,5.565,*
1978,4,54,1,54.100,FYM,FA:N0,N0,0,0,AB,62.000,1977-10-25,62.000,1977-10-25,0.000,*,Cappelle,1977-10-25,1978-08-25,2.640,*
1978,4,54,2,54.200,FYM,FA:N1,N63,63,1,AB,62.000,1977-10-25,62.000,1977-10-25,0.000,*,Cappelle,1977-10-25,1978-08-25,5.266,*
1978,4,54,3,54.300,FYM,FA:N3,N189,189,1,AB,62.000,1977-10-25,62.000,1977-10-25,0.000,*,Cappelle,1977-10-25,1978-08-25,5.215,*
1978,4,54,4,54.400,FYM,FA:N2,N126,126,1,AB,62.000,1977-10-25,62.000,1977-10-25,0.000,*,Cappelle,1977-10-25,1978-08-25,6.009,*
1978,4,55,1,55.100,none,FA:N3,N189,189,1,LLn8,62.000,1977-10-25,62.000,1977-10-25,0.000,*,Cappelle,1977-10-25,1978-08-25,5.359,*
1978,4,55,2,55.200,none,FA:N1,N63,63,1,LLn8,62.000,1977-10-25,62.000,1977-10-25,0.000,*,Cappelle,1977-10-25,1978-08-25,5.387,*
