year,block,main_plot,sub_plot,rotation_type,rotation_factor_level_code,n_or_c_treatment,sampling_date,soil_depth,bulk_density,percent_total_C,percent_CaCO3_C,percent_soc,percent_total_N,pH_in_water,Olsen_P,K_ex,Ca_ex,Mg_ex,Na_ex,note_id
1972.000,3.000,33/34,1,permanent grass,[G],*,1972-09-01 00:00:00,0-23,0.944,*,*,2.920,*,*,*,*,*,*,*,7
1972.000,3.000,33/34,2,permanent grass,[G],*,1972-09-01 00:00:00,0-23,0.944,*,*,3.120,*,*,*,*,*,*,*,7
1972.000,3.000,35/36,*,ley_arable,Lu,*,1972-09-01 00:00:00,0-23,*,*,*,1.940,*,*,*,*,*,*,*,*
1972.000,4.000,37/38,*,ley_arable,Lu,*,1972-09-01 00:00:00,0-23,*,*,*,1.970,*,*,*,*,*,*,*,*
1972.000,4.000,39/40,1,reseeded grass,Rc,c,1972-09-01 00:00:00,0-23,*,*,*,3.140,*,*,*,*,*,*,*,*
1972.000,4.000,39/40,2,reseeded grass,Rn,n,1972-09-01 00:00:00,0-23,*,*,*,2.980,*,*,*,*,*,*,*,*
1972.000,4.000,41/42,*,arable,A,*,1972-09-01 00:00:00,0-23,0.996,*,*,2.100,*,*,*,*,*,*,*,*
1972.000,4.000,43/44,*,ley_arable,Ln,*,1972-09-01 00:00:00,0-23,*,*,*,2.130,*,*,*,*,*,*,*,*
1972.000,4.000,45/46,*,ley_arable,Lc,*,1972-09-01 00:00:00,0-23,*,*,*,2.230,*,*,*,*,*,*,*,*
1972.000,4.000,47/48,1,permanent grass,Gn,n,1972-09-01 00:00:00,0-23,0.944,*,*,3.110,*,*,*,*,*,*,*,*
1972.000,4.000,47/48,2,permanent grass,Gc,c,1972-09-01 00:00:00,0-23,0.944,*,*,3.200,*,*,*,*,*,*,*,*
1975.000,1.000,01/02,1,permanent grass,Gn,n,1975-11-01 00:00:00,0-23,0.944,*,*,2.790,*,*,*,*,*,*,*,*
1975.000,1.000,01/02,2,permanent grass,Gc,c,1975-11-01 00:00:00,0-23,0.944,*,*,3.140,*,*,*,*,*,*,*,*
1975.000,1.000,03/04,*,ley_arable,Lu,*,1975-11-01 00:00:00,0-23,*,*,*,1.950,*,*,*,*,*,*,*,*
1975.000,1.000,05/06,1,reseeded grass,Rn,n,1975-11-01 00:00:00,0-23,*,*,*,2.920,*,*,*,*,*,*,*,*
1975.000,1.000,05/06,2,reseeded grass,Rc,c,1975-11-01 00:00:00,0-23,*,*,*,3.260,*,*,*,*,*,*,*,*
1975.000,1.000,07/08,*,ley_arable,Ln,*,1975-11-01 00:00:00,0-23,*,*,*,2.190,*,*,*,*,*,*,*,*
1975.000,1.000,09/10,*,arable,A,*,1975-11-01 00:00:00,0-23,1.002,*,*,1.960,*,*,*,*,*,*,*,*
1975.000,1.000,11/12,*,ley_arable,Lc,*,1975-11-01 00:00:00,0-23,*,*,*,2.090,*,*,*,*,*,*,*,*
1975.000,2.000,13/14,1,reseeded grass,Rpc,c,1975-11-01 00:00:00,0-23,*,*,*,2.400,*,*,*,*,*,*,*,13
1975.000,2.000,13/14,2,reseeded grass,Rpn,n,1975-11-01 00:00:00,0-23,*,*,*,2.490,*,*,*,*,*,*,*,13
1975.000,2.000,15/16,*,ley_arable,Lc,*,1975-11-01 00:00:00,0-23,*,*,*,2.260,*,*,*,*,*,*,*,*
1975.000,2.000,17/18,*,ley_arable,Ln,*,1975-11-01 00:00:00,0-23,*,*,*,2.290,*,*,*,*,*,*,*,*
1975.000,2.000,19/20,*,arable,A,*,1975-11-01 00:00:00,0-23,*,*,*,1.920,*,*,*,*,*,*,*,*
1975.000,2.000,21/22,*,ley_arable,Lu,*,1975-11-01 00:00:00,0-23,*,*,*,1.980,*,*,*,*,*,*,*,*
1975.000,2.000,23/24,1,permanent grass,Gc,c,1975-11-01 00:00:00,0-23,0.944,*,*,3.310,*,*,*,*,*,*,*,*
1975.000,2.000,23/24,2,permanent grass,Gn,n,1975-11-01 00:00:00,0-23,0.944,*,*,3.290,*,*,*,*,*,*,*,*
1975.000,3.000,25/26,*,ley_arable,Lc,*,1975-11-01 00:00:00,0-23,*,*,*,2.280,*,*,*,*,*,*,*,*
1975.000,3.000,27/28,*,arable,A,*,1975-11-01 00:00:00,0-23,*,*,*,1.840,*,*,*,*,*,*,*,*
1975.000,3.000,29/30,*,ley_arable,Ln,*,1975-11-01 00:00:00,0-23,*,*,*,2.120,*,*,*,*,*,*,*,*
1975.000,3.000,31/32,1,reseeded grass,Rpc,c,1975-11-01 00:00:00,0-23,*,*,*,2.190,*,*,*,*,*,*,*,13
1975.000,3.000,31/32,2,reseeded grass,Rpn,n,1975-11-01 00:00:00,0-23,*,*,*,2.320,*,*,*,*,*,*,*,13
1975.000,3.000,33/34,1,permanent grass,[G],*,1975-11-01 00:00:00,0-23,0.944,*,*,2.840,*,*,*,*,*,*,*,7
1975.000,3.000,33/34,2,permanent grass,[G],*,1975-11-01 00:00:00,0-23,0.944,*,*,2.720,*,*,*,*,*,*,*,7
1975.000,3.000,35/36,*,ley_arable,Lu,*,1975-11-01 00:00:00,0-23,*,*,*,1.950,*,*,*,*,*,*,*,*
1975.000,4.000,37/38,*,ley_arable,Lu,*,1975-11-01 00:00:00,0-23,*,*,*,1.810,*,*,*,*,*,*,*,*
1975.000,4.000,39/40,1,reseeded grass,Rc,c,1975-11-01 00:00:00,0-23,*,*,*,3.080,*,*,*,*,*,*,*,*
1975.000,4.000,39/40,2,reseeded grass,Rn,n,1975-11-01 00:00:00,0-23,*,*,*,3.020,*,*,*,*,*,*,*,*
1975.000,4.000,41/42,*,arable,A,*,1975-11-01 00:00:00,0-23,1.002,*,*,1.890,*,*,*,*,*,*,*,*
1975.000,4.000,43/44,*,ley_arable,Ln,*,1975-11-01 00:00:00,0-23,*,*,*,1.970,*,*,*,*,*,*,*,*
1975.000,4.000,45/46,*,ley_arable,Lc,*,1975-11-01 00:00:00,0-23,*,*,*,1.980,*,*,*,*,*,*,*,*
1975.000,4.000,47/48,1,permanent grass,Gn,n,1975-11-01 00:00:00,0-23,0.944,*,*,3.240,*,*,*,*,*,*,*,*
1975.000,4.000,47/48,2,permanent grass,Gc,c,1975-11-01 00:00:00,0-23,0.944,*,*,2.950,*,*,*,*,*,*,*,*
1979.000,1.000,01/02,1,permanent grass,Gn,n,1979-05-09 00:00:00,0-23,0.944,*,*,3.170,*,*,*,*,*,*,*,*
1979.000,1.000,01/02,2,permanent grass,Gc,c,1979-05-09 00:00:00,0-23,0.944,*,*,3.260,*,*,*,*,*,*,*,*
1979.000,1.000,03/04,*,ley_arable,Lu,*,1979-05-09 00:00:00,0-23,*,*,*,2.000,*,*,*,*,*,*,*,*
1979.000,1.000,05/06,1,reseeded grass,Rn,n,1979-05-09 00:00:00,0-23,*,*,*,2.920,*,*,*,*,*,*,*,*
1979.000,1.000,05/06,2,reseeded grass,Rc,c,1979-05-09 00:00:00,0-23,*,*,*,3.260,*,*,*,*,*,*,*,*
1979.000,1.000,07/08,*,ley_arable,Ln,*,1979-05-09 00:00:00,0-23,*,*,*,2.100,*,*,*,*,*,*,*,*
1979.000,1.000,09/10,*,arable,A,*,1979-05-09 00:00:00,0-23,1.011,*,*,1.870,*,*,*,*,*,*,*,*
1979.000,1.000,11/12,*,ley_arable,Lc,*,1979-05-09 00:00:00,0-23,*,*,*,1.940,*,*,*,*,*,*,*,*
1979.000,2.000,13/14,1,reseeded grass,Rpc,c,1979-05-09 00:00:00,0-23,*,*,*,2.400,*,*,*,*,*,*,*,13
1979.000,2.000,13/14,2,reseeded grass,Rpn,n,1979-05-09 00:00:00,0-23,*,*,*,2.460,*,*,*,*,*,*,*,13
1979.000,2.000,15/16,*,ley_arable,Lc,*,1979-05-09 00:00:00,0-23,*,*,*,2.120,*,*,*,*,*,*,*,*
1979.000,2.000,17/18,*,ley_arable,Ln,*,1979-05-09 00:00:00,0-23,*,*,*,2.090,*,*,*,*,*,*,*,*
1979.000,2.000,19/20,*,arable,A,*,1979-05-09 00:00:00,0-23,*,*,*,1.840,*,*,*,*,*,*,*,*
1979.000,2.000,21/22,*,ley_arable,Lu,*,1979-05-09 00:00:00,0-23,*,*,*,1.810,*,*,*,*,*,*,*,*
1979.000,2.000,23/24,1,permanent grass,Gc,c,1979-05-09 00:00:00,0-23,0.944,*,*,3.380,*,*,*,*,*,*,*,*
1979.000,2.000,23/24,2,permanent grass,Gn,n,1979-05-09 00:00:00,0-23,0.944,*,*,3.190,*,*,*,*,*,*,*,*
