site,plot_id,plot,split_plot,sub_plot,year_of_split,subsequent_plots_1,year_of_split_1,subsequent_plots_2,year_of_split_2,harvest_year,treatments,n_factor_level,n_rate,p_factor_level,p_rate,k_factor_level,k_rate,mg_factor_level,mg_rate,na_factor_level,na_rate,si_factor_level,si_rate,liming_factor_level,liming_rate,fym_factor_level,fym_rate,fm_factor_level,fm_n_rate,start_cut_1,end_cut_1,start_cart_1,end_cart_1,harvest_area_cut_1,yield_dry_matter_cut_1,yield_dry_matter_cut_1_forage_harvester,start_cut_2,end_cut_2,start_cart_cut_2,end_cart_cut_2,harvest_area_cut_2,yield_dry_matter_cut_2,note_id
Rothamsted,1L,1,*,L,1903.000,1a 1b,1965,*,*,1941,N1,N1,48,0,0,0,0,0,0,0,0,0,0,L,0.000,0,0,0,0,1941-06-23,1941-06-25,1931-06-27,1931-06-30,0.039,1.739,*,1941-09-26,1941-10-01,1941-10-21,1941-10-28,0.039,0.555,1
Rothamsted,1L,1,*,L,1903.000,1a 1b,1965,*,*,1942,N1,N1,48,0,0,0,0,0,0,0,0,0,0,L,0.000,0,0,0,0,1942-06-08,1942-06-10,1942-06-17,1942-06-18,0.039,1.333,*,1942-09-18,1942-09-19,1942-10-19,1942-11-22,0.039,0.420,1
Rothamsted,1L,1,*,L,1903.000,1a 1b,1965,*,*,1943,N1,N1,48,0,0,0,0,0,0,0,0,0,0,L,0.000,0,0,0,0,1943-06-17,1943-06-21,1943-06-23,1943-06-25,0.039,1.376,*,*,*,*,*,*,*,"1, 7"
Rothamsted,1L,1,*,L,1903.000,1a 1b,1965,*,*,1944,N1,N1,48,0,0,0,0,0,0,0,0,0,0,L,4.000,0,0,0,0,1944-06-20,1944-06-21,1944-06-22,1944-06-24,0.039,0.534,*,*,*,*,*,*,*,"1, 7"
Rothamsted,1L,1,*,L,1903.000,1a 1b,1965,*,*,1945,N1,N1,48,0,0,0,0,0,0,0,0,0,0,L,0.000,0,0,0,0,1945-06-18,1945-06-19,1945-06-20,1945-06-23,0.039,1.534,*,1945-11-06,1945-11-09,1945-11-09,1945-11-10,0.039,0.220,1
Rothamsted,1L,1,*,L,1903.000,1a 1b,1965,*,*,1946,N1,N1,48,0,0,0,0,0,0,0,0,0,0,L,0.000,0,0,0,0,1946-06-20,1946-06-22,1946-06-25,1946-06-28,0.039,1.758,*,1946-12-02,1946-12-24,1946-12-03,1946-12-24,0.039,0.369,1
Rothamsted,1L,1,*,L,1903.000,1a 1b,1965,*,*,1947,N1,N1,48,0,0,0,0,0,0,0,0,0,0,L,0.000,0,0,0,0,1947-06-12,1947-06-13,1947-06-16,1947-06-23,0.039,1.954,*,1947-09-01,1947-09-02,1947-09-03,1947-09-03,0.039,0.609,1
Rothamsted,1L,1,*,L,1903.000,1a 1b,1965,*,*,1948,N1,N1,48,0,0,0,0,0,0,0,0,0,0,L,4.000,0,0,0,0,1948-06-16,1948-06-18,1948-06-19,1948-06-26,0.039,1.608,*,1948-10-07,1948-10-09,1948-10-18,1948-10-21,0.039,0.536,1
Rothamsted,1L,1,*,L,1903.000,1a 1b,1965,*,*,1949,N1,N1,48,0,0,0,0,0,0,0,0,0,0,L,0.000,0,0,0,0,1949-06-20,1949-06-21,1949-06-21,1949-06-26,0.039,1.888,*,*,*,*,*,*,*,"1, 7"
Rothamsted,1L,1,*,L,1903.000,1a 1b,1965,*,*,1950,N1,N1,48,0,0,0,0,0,0,0,0,0,0,L,0.000,0,0,0,0,1950-06-13,1950-06-15,1950-06-19,1950-06-24,0.039,1.177,*,1950-09-13,1950-09-14,1950-09-22,1950-09-25,0.039,0.482,1
