harvest_year,crop,plot,previous_fertilizer_code,current_year_fertilizer_code,n_fertilizer_amount,n_fertilizer_type,chalk_amount,sowing_date,harvest_date,variety,plot_area,grain_yield,straw_yield,note_id
1961,spring barley,5,N,N,63.000,calcium ammonium nitrate,*,1961-04-12,1961-08-29,Plumage Archer,0.068,2.130,1.280,*
1961,spring barley,6,N*,N,63.000,calcium ammonium nitrate,*,1961-04-12,1961-08-29,Plumage Archer,0.068,1.960,1.260,*
1961,spring barley,7,NPKNaMg,N,63.000,calcium ammonium nitrate,*,1961-04-12,1961-08-29,Plumage Archer,0.068,2.700,1.680,*
1961,spring barley,8,N*PKNaMg,N,63.000,calcium ammonium nitrate,*,1961-04-12,1961-08-29,Plumage Archer,0.068,2.740,1.610,*
1961,spring barley,9,P,N,63.000,calcium ammonium nitrate,*,1961-04-12,1961-08-29,Plumage Archer,0.068,2.810,1.660,*
1961,spring barley,10,PKNaMg,N,63.000,calcium ammonium nitrate,*,1961-04-12,1961-08-29,Plumage Archer,0.068,2.960,1.530,*
1962,spring barley,1,Nil,N,63.000,calcium ammonium nitrate,*,1962-03-28,1962-09-14,Plumage Archer,0.068,2.010,1.370,*
1962,spring barley,2,Nil (FYM),N,63.000,calcium ammonium nitrate,*,1962-03-28,1962-09-14,Plumage Archer,0.068,1.770,1.120,*
1962,spring barley,3,FYM (P),N,63.000,calcium ammonium nitrate,*,1962-03-28,1962-09-14,Plumage Archer,0.068,3.060,2.030,*
1962,spring barley,4,FYM (N*P),N,63.000,calcium ammonium nitrate,*,1962-03-28,1962-09-14,Plumage Archer,0.068,3.070,2.260,*
1962,spring barley,5,N,N,63.000,calcium ammonium nitrate,*,1962-03-28,1962-09-14,Plumage Archer,0.068,1.790,1.230,*
1962,spring barley,6,N*,N,63.000,calcium ammonium nitrate,*,1962-03-28,1962-09-14,Plumage Archer,0.068,1.580,1.180,*
1962,spring barley,7,NPKNaMg,N,63.000,calcium ammonium nitrate,*,1962-03-28,1962-09-14,Plumage Archer,0.068,2.600,1.810,*
1962,spring barley,8,N*PKNaMg,N,63.000,calcium ammonium nitrate,*,1962-03-28,1962-09-14,Plumage Archer,0.068,2.640,1.680,*
1962,spring barley,9,P,N,63.000,calcium ammonium nitrate,*,1962-03-28,1962-09-14,Plumage Archer,0.068,2.410,1.780,*
1962,spring barley,10,PKNaMg,N,63.000,calcium ammonium nitrate,*,1962-03-28,1962-09-14,Plumage Archer,0.068,2.510,2.250,*
1963,spring barley,1,Nil,N,63.000,calcium ammonium nitrate,*,1963-04-08,1963-09-05,Proctor,0.068,2.360,1.430,*
1963,spring barley,2,Nil (FYM),N,63.000,calcium ammonium nitrate,*,1963-04-08,1963-09-05,Proctor,0.068,1.780,1.190,*
1963,spring barley,3,FYM (P),N,63.000,calcium ammonium nitrate,*,1963-04-08,1963-09-05,Proctor,0.068,3.380,2.350,*
1963,spring barley,4,FYM (N*P),N,63.000,calcium ammonium nitrate,*,1963-04-08,1963-09-05,Proctor,0.068,3.150,2.110,*
1963,spring barley,5,N,N,63.000,calcium ammonium nitrate,*,1963-04-08,1963-09-05,Proctor,0.068,1.730,1.180,*
1963,spring barley,6,N*,N,63.000,calcium ammonium nitrate,*,1963-04-08,1963-09-05,Proctor,0.068,1.720,1.140,*
1963,spring barley,7,NPKNaMg,N,63.000,calcium ammonium nitrate,*,1963-04-08,1963-09-05,Proctor,0.068,3.120,2.300,*
1963,spring barley,8,N*PKNaMg,N,63.000,calcium ammonium nitrate,*,1963-04-08,1963-09-05,Proctor,0.068,2.600,1.780,*
1963,spring barley,9,P,N,63.000,calcium ammonium nitrate,*,1963-04-08,1963-09-05,Proctor,0.068,3.210,2.230,*
1963,spring barley,10,PKNaMg,N,63.000,calcium ammonium nitrate,*,1963-04-08,1963-09-05,Proctor,0.068,2.990,2.200,*
1964,spring barley,1,Nil,N,88.000,calcium ammonium nitrate,*,1964-03-06,1964-08-21,Maris Badger ,0.068,1.670,1.470,*
1964,spring barley,2,Nil (FYM),N,88.000,calcium ammonium nitrate,*,1964-03-06,1964-08-21,Maris Badger ,0.068,1.280,1.170,*
1964,spring barley,3,FYM (P),N,88.000,calcium ammonium nitrate,*,1964-03-06,1964-08-21,Maris Badger ,0.068,4.470,3.350,*
1964,spring barley,4,FYM (N*P),N,88.000,calcium ammonium nitrate,*,1964-03-06,1964-08-21,Maris Badger ,0.068,4.120,3.110,*
1964,spring barley,5,N,N,88.000,calcium ammonium nitrate,*,1964-03-06,1964-08-21,Maris Badger ,0.068,1.570,1.280,*
1964,spring barley,6,N*,N,88.000,calcium ammonium nitrate,*,1964-03-06,1964-08-21,Maris Badger ,0.068,1.490,1.120,*
1964,spring barley,7,NPKNaMg,N,88.000,calcium ammonium nitrate,*,1964-03-06,1964-08-21,Maris Badger ,0.068,4.000,2.760,*
1964,spring barley,8,N*PKNaMg,N,88.000,calcium ammonium nitrate,*,1964-03-06,1964-08-21,Maris Badger ,0.068,3.390,2.330,*
1964,spring barley,9,P,N,88.000,calcium ammonium nitrate,*,1964-03-06,1964-08-21,Maris Badger ,0.068,3.610,2.560,*
1964,spring barley,10,PKNaMg,N,88.000,calcium ammonium nitrate,*,1964-03-06,1964-08-21,Maris Badger ,0.068,3.560,2.110,*
1965,spring barley,1,Nil,N,88.000,calcium ammonium nitrate,*,1965-03-15,1965-09-01,Maris Badger ,0.068,1.820,1.830,*
1965,spring barley,2,Nil (FYM),N,88.000,calcium ammonium nitrate,*,1965-03-15,1965-09-01,Maris Badger ,0.068,1.560,1.570,*
1965,spring barley,3,FYM (P),N,88.000,calcium ammonium nitrate,*,1965-03-15,1965-09-01,Maris Badger ,0.068,4.170,3.250,*
1965,spring barley,4,FYM (N*P),N,88.000,calcium ammonium nitrate,*,1965-03-15,1965-09-01,Maris Badger ,0.068,3.690,2.770,*
1965,spring barley,5,N,N,88.000,calcium ammonium nitrate,*,1965-03-15,1965-09-01,Maris Badger ,0.068,1.520,1.260,*
1965,spring barley,6,N*,N,88.000,calcium ammonium nitrate,*,1965-03-15,1965-09-01,Maris Badger ,0.068,1.490,1.390,*
1965,spring barley,7,NPKNaMg,N,88.000,calcium ammonium nitrate,*,1965-03-15,1965-09-01,Maris Badger ,0.068,3.640,2.540,*
1965,spring barley,8,N*PKNaMg,N,88.000,calcium ammonium nitrate,*,1965-03-15,1965-09-01,Maris Badger ,0.068,3.390,2.410,*
1965,spring barley,9,P,N,88.000,calcium ammonium nitrate,*,1965-03-15,1965-09-01,Maris Badger ,0.068,3.730,2.410,*
1965,spring barley,10,PKNaMg,N,88.000,calcium ammonium nitrate,*,1965-03-15,1965-09-01,Maris Badger ,0.068,3.360,1.940,*
1966,spring barley,1,Nil,N,88.000,calcium ammonium nitrate,*,1966-03-11,1966-08-26,Maris Badger ,0.068,1.490,1.970,*
1966,spring barley,2,Nil (FYM),N,88.000,calcium ammonium nitrate,*,1966-03-11,1966-08-26,Maris Badger ,0.068,1.630,1.830,*
1966,spring barley,3,FYM (P),N,88.000,calcium ammonium nitrate,*,1966-03-11,1966-08-26,Maris Badger ,0.068,4.240,3.180,*
1966,spring barley,4,FYM (N*P),N,88.000,calcium ammonium nitrate,*,1966-03-11,1966-08-26,Maris Badger ,0.068,4.040,3.050,*
1966,spring barley,5,N,N,88.000,calcium ammonium nitrate,*,1966-03-11,1966-08-26,Maris Badger ,0.068,1.530,1.530,*
1966,spring barley,6,N*,N,88.000,calcium ammonium nitrate,*,1966-03-11,1966-08-26,Maris Badger ,0.068,1.340,1.620,*
1966,spring barley,7,NPKNaMg,N,88.000,calcium ammonium nitrate,*,1966-03-11,1966-08-26,Maris Badger ,0.068,3.830,2.870,*
