year,block,main_plot,fym_factor_level,rotation_type,rotation_factor_level,phase_number,test_or_treatment,crop_name,crop_code,crop_variety,management_note_id,note_id
1963,3,38,FYM,alternating arable and ley-arable,Lu/Ar,1,1st treatment crop,potatoes,P,Majestic,*,*
1964,3,38,FYM,alternating arable and ley-arable,Lu/Ar,2,2nd treatment crop,winter rye,R,King II,*,*
1965,3,38,FYM,alternating arable and ley-arable,Lu/Ar,3,3rd treatment crop,carrots,C,Autumn King,*,*
1966,3,38,FYM,alternating arable and ley-arable,Lu/Ar,4,1st test crop,sugar beet,SBe,Klein E,*,*
1967,3,38,FYM,alternating arable and ley-arable,Lu/Ar,5,2nd test crop,spring barley,B,Maris Badger,*,*
1968,3,38,FYM,alternating arable and ley-arable,Lu/Ar,1,1st year ley treatment,grazed ley,L1,S.23 perennial ryegrass; S.143 cocksfoot; late-flowering red clover; S.100 white clover,1.000,*
1969,3,38,FYM,alternating arable and ley-arable,Lu/Ar,2,2nd year ley treatment,cut ley,L2,S.23 perennial ryegrass; S.143 cocksfoot; S.123 late-flowering red clover; S.100 white clover,2.000,*
1970,3,38,FYM,alternating arable and ley-arable,Lu/Ar,3,3rd year ley treatment,cut ley,L3,S.23 perennial ryegrass; S.143 cocksfoot; S.123 late-flowering red clover; S.100 white clover,2.000,*
1971,3,38,FYM,alternating arable and ley-arable,Lu/Ar,4,1st test crop,potatoes,P,Maris Piper,*,16
1972,3,38,FYM,alternating arable and ley-arable,Lu/Ar,5,2nd test crop,winter wheat,W,Cappelle,*,*
1973,3,38,FYM,alternating arable and ley-arable,Lu/Ar,1,1st treatment crop,potatoes,P,Maris Piper,*,*
1974,3,38,FYM,alternating arable and ley-arable,Lu/Ar,2,2nd treatment crop,spring barley,B,Julia,*,*
1975,3,38,FYM,alternating arable and ley-arable,Lu/Ar,3,3rd treatment crop,hay,H,S.24 perennial ryegrass; late-flowering red clover; alsike clover,4.000,*
1976,3,38,FYM,alternating arable and ley-arable,Lu/Ar,4,1st test crop,winter wheat,W,Cappelle,*,*
1977,3,38,FYM,alternating arable and ley-arable,Lu/Ar,5,2nd test crop,spring barley,B,Julia,*,*
1978,3,38,FYM,8-yr grass with N ley-arable,LLn8_2nd_cycle,1,1st year ley treatment,grass ley with N,Ln1,Erecta timothy; S.215 meadow fescue,9.000,*
1979,3,38,FYM,8-yr grass with N ley-arable,LLn8_2nd_cycle,2,2nd year ley treatment,grass ley with N,Ln2,Erecta timothy; S.215 meadow fescue,9.000,*
1980,3,38,FYM,8-yr grass with N ley-arable,LLn8_2nd_cycle,3,3rd year ley treatment,grass ley with N,Ln3,Erecta timothy; S.215 meadow fescue,9.000,*
1981,3,38,FYM,8-yr grass with N ley-arable,LLn8_2nd_cycle,4,4th year ley treatment,grass ley with N,Ln4,Erecta timothy; S.215 meadow fescue,9.000,*
1982,3,38,FYM,8-yr grass with N ley-arable,LLn8_2nd_cycle,5,5th year ley treatment,grass ley with N,Ln5,Erecta timothy; S.215 meadow fescue,9.000,*
1983,3,38,FYM,8-yr grass with N ley-arable,LLn8_2nd_cycle,6,6th year ley treatment,grass ley with N,Ln6,Erecta timothy; S.215 meadow fescue,9.000,*
1984,3,38,FYM,8-yr grass with N ley-arable,LLn8_2nd_cycle,7,7th year ley treatment,grass ley with N,Ln7,Erecta timothy; S.215 meadow fescue,9.000,*
