harvest_year,plot,sub_plot,sub_sub_plot,fertilizer_code,lime_factor_level,fym_factor_level,fym_amount,fym_n,rape_cake_factor_level,rape_cake_n,n_factor_level,fertilizer_n_amount,p_factor_level,p_amount,k_factor_level,k_amount,na_factor_level,na_amount,mg_factor_level,mg_amount,pH,percent_c,percent_n,c_n_ratio,exch_ca,total_p,org_p_ignition,org_p_extraction,note_id
1916,3,b,ii,N1*,L0,nil,0.000,0,nil,0,N1*,23,nil,0,nil,0,nil,0,nil,0,*,*,*,*,*,*,*,*,3
1916,4,a,*,PK(NaMg),L0,nil,0.000,0,nil,0,nil,0,P1,22,K1,25,(Na),0,(Mg),0,*,*,*,*,*,*,*,*,3
1916,4,b,*,PK(NaMg),L1,nil,0.000,0,nil,0,nil,0,P1,22,K1,25,(Na),0,(Mg),0,*,*,*,*,*,*,*,*,3
1916,5,a,i,N1PK(NaMg),L0,nil,0.000,0,nil,0,N1,23,P1,22,K1,25,(Na),0,(Mg),0,*,*,*,*,*,*,*,*,3
1916,5,a,ii,N1PK(NaMg),L2,nil,0.000,0,nil,0,N1,23,P1,22,K1,25,(Na),0,(Mg),0,*,*,*,*,*,*,*,*,3
1916,5,b,*,N1PK(NaMg),L3,nil,0.000,0,nil,0,N1,23,P1,22,K1,25,(Na),0,(Mg),0,*,*,*,*,*,*,*,*,3
1916,6,*,*,N1*PK(NaMg),L0,nil,0.000,0,nil,0,N1*,23,P1,22,K1,25,(Na),0,(Mg),0,*,*,*,*,*,*,*,*,3
1916,7,*,*,Nil,L0,nil,0.000,0,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,*,0.990,0.101,9.802,*,*,*,*,3
1916,8,a,i,PK(NaMg),L0,nil,0.000,0,nil,0,nil,0,P1,22,K1,25,(Na),0,(Mg),0,*,*,*,*,*,*,*,*,3
1916,8,a,ii,PK(NaMg),L3,nil,0.000,0,nil,0,nil,0,P1,22,K1,25,(Na),0,(Mg),0,*,*,*,*,*,*,*,*,3
1916,8,b,i,N2PK(NaMg),L0,nil,0.000,0,nil,0,N2,46,P1,22,K1,25,(Na),0,(Mg),0,*,*,*,*,*,*,*,*,3
1916,8,b,ii,N2PK(NaMg),L3,nil,0.000,0,nil,0,N2,46,P1,22,K1,25,(Na),0,(Mg),0,*,*,*,*,*,*,*,*,3
1916,9,a,*,PK(NaMg),L0,nil,0.000,0,nil,0,nil,0,P1,22,K1,25,(Na),0,(Mg),0,*,*,*,*,*,*,*,*,3
1916,9,b,*,N2*PK(NaMg),L0,nil,0.000,0,nil,0,N2*,46,P1,22,K1,25,(Na),0,(Mg),0,*,*,*,*,*,*,*,*,3
1916,10,a,*,N1*P ,L0,nil,0.000,0,nil,0,N1*,23,P1,22,nil,0,nil,0,nil,0,*,*,*,*,*,*,*,*,3
1916,10,b,*,R1,L0,nil,0.000,0,R1,23,nil,0,nil,0,nil,0,nil,0,nil,0,*,*,*,*,*,*,*,*,3
1916,11,a,*,N1*K,L0,nil,0.000,0,nil,0,N1*,23,nil,0,K2,49,nil,0,nil,0,*,*,*,*,*,*,*,*,3
1916,11,b,*,FYM1.5,L0,FYM1.5,14.800,92,nil,0,nil,0,nil,0,nil,0,nil,0,nil,0,*,1.600,0.160,10.000,*,*,*,*,3
